Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2010-07-16,249.34007263183594,250.59709856516173,247.00559589851665,247.36474616518115,8205560
2010-07-19,248.75192260742188,250.75868319160213,245.63629889267602,246.82598397366954,7047120
2010-07-20,247.7822723388672,249.83392719393487,247.23008752147337,248.75198253208072,5054736
2010-07-21,248.85971069335938,249.5196581040174,247.81369426667433,248.46914791465431,2634480
2010-07-22,247.3198699951172,248.24019261898718,244.8552054987656,248.24019261898718,8226952
2010-07-23,250.1885223388672,257.69477052796736,248.26258371374485,250.23790987710916,5323096
2010-07-26,251.80470275878906,252.30302807027442,250.50727698080627,250.50727698080627,4470816
2010-07-27,253.99105834960938,254.45794928524055,251.67453487880354,251.67453487880354,5093960
2010-07-28,254.28736877441406,254.86200041570112,252.48262996968523,254.0090185576954,3725168
2010-07-29,254.38165283203125,254.9967064733568,252.37940749741446,253.63193975244695,3613008
2010-07-30,250.36363220214844,254.21103804964477,247.81367417819675,252.75199014913906,4472672
2010-08-02,251.13124084472656,252.55438203831724,249.71259341202872,251.40509720977275,3815232
2010-08-03,249.99559020996094,253.111215186199,248.66672949917634,251.8541889312835,2434584
2010-08-04,258.0944519042969,259.6657348781446,250.50739983057514,250.50739983057514,9536024
2010-08-05,257.623046875,260.9945753195087,256.93168680470734,258.58826348348873,6594296
2010-08-06,257.13360595703125,259.6656106392728,256.0741084174295,256.88219641734423,3676480
2010-08-09,258.1077575683594,258.8485048149033,252.86417370659353,255.7598220339926,4201544
2010-08-10,254.01356506347656,257.69036218859355,252.75204514316752,257.69036218859355,4811984
2010-08-11,252.3838348388672,256.6038500117789,251.40515923729524,254.45793617089095,5344800
2010-08-12,248.9539031982422,251.0459572259489,247.2748806152587,251.0459572259489,6973400
2010-08-13,249.36245727539062,251.22554881863098,247.3646844157714,249.16043530082237,5561808
2010-08-16,247.98422241210938,249.42981071697739,246.9157593490597,247.8136348376017,5193608
2010-08-17,246.9606475830078,249.29512380084392,245.1200028727909,247.36469154378716,5140640
2010-08-18,252.05613708496094,253.1560347354341,247.6475589584212,248.27160006001697,6128144
2010-08-19,251.81813049316406,253.64978744658828,250.32315487662734,252.75191209279504,4826744
2010-08-20,248.67562866210938,251.67452432203288,247.27493399317822,251.67452432203288,4624824
2010-08-23,251.6879425048828,252.3029959430231,247.93034698112166,248.89106930749466,4511832
2010-08-24,248.28504943847656,250.41750398116307,247.38268007941315,250.41750398116307,5247552
2010-08-25,248.79241943359375,250.86202772625023,247.4500993738475,247.9933186667449,3502008
2010-08-26,248.32098388671875,249.8743132299041,246.67788889444085,249.1605064334696,7834984
2010-08-27,243.3153076171875,247.63409815536386,240.75636207787355,247.63409815536386,6973800
2010-08-30,242.46678161621094,245.65873335814715,239.4005455949865,244.16377943990796,4781168
2010-08-31,243.6699981689453,244.58133320828756,240.28498934671916,241.07961808526142,7722280
2010-09-01,249.263671875,250.01340660674288,243.16710664130414,243.66992563658857,10131800
2010-09-02,247.18516540527344,252.66220684723555,246.54766492813803,251.3153933779006,3402512
2010-09-03,249.38047790527344,251.76434223462797,247.91246431183768,247.91246431183768,7606688
2010-09-06,254.24693298339844,254.996667870277,250.11223342305001,250.1705865681547,6391192
2010-09-07,257.2369384765625,257.9507453965245,252.32106817459407,254.99674260439113,8321272
2010-09-08,258.53436279296875,259.18085093988674,253.64992695028042,256.5231296626376,9386496
2010-09-09,259.9349365234375,260.3838742376403,256.61279743833654,257.69923547502214,7591392
2010-09-13,263.6969909667969,264.4242787360483,258.76766428430943,259.4859645321493,6650488
2010-09-14,267.1719665527344,269.36277502125444,264.87339543756684,264.9272767608906,9767144
